Customer_ID,Name,Location,Industry
1,Atlantic Pharma Ltd.,Porto,Pharmaceuticals
2,TechNova Solutions,Lisbon,Technology
3,Lusitan Agrofoods,Evora,Agribusiness
4,IberLogistics Co.,Coimbra,Logistics
5,EcoEnergy Global,Braga,Renewable Energy
6,Southern Vineyards,Setubal,Beverages
7,Costa Metalworks Ltd.,Aveiro,Metalworking
8,DigitalSpark Media,Lisbon,Media & Communications
9,National Textiles Inc.,Guimaraes,Textiles
10,Atlantic Fish Co.,Matosinhos,Seafood / Food Industry
11,PureGreen Organics,Viseu,Organic Farming
12,Lusitronic Automation,Leiria,Industrial Automation
13,FashionCode Retail,Porto,Fashion / Retail
14,AutoParts Iberia,Palmela,Automotive Industry
15,NutriPlus Foods,Santarem,Food Production
16,Meditec Instruments,Faro,Medical Equipment
17,GlobalPet Supplies,Cascais,Veterinary Products
18,EuroHardware Ltd.,Braga,Industrial Trade
19,OceanDrive Logistics,Setubal,Transport Services
20,Alvo Chemical Industries,Estarreja,Chemicals
21,ElevateTech Consulting,Lisbon,Tech Consulting
22,Beira Sweets Central,Covilha,Confectionery
23,BioPure Cosmetics,Oeiras,Natural Cosmetics
24,PrimeLog Distribution,Maia,Logistics & Distribution
25,IberAgro Seeds,Beja,Seeds & Fertilizers
26,Inspira Energy,Evora,Renewable Energy
27,BuildMore Engineering,Vila Nova de Gaia,Civil Engineering
28,Aroma Café & Co.,Lisbon,Foodservice / Retail
29,FlySky Drone Systems,Aveiro,Technology / Aeronautics
30,PrintExpress Digital,Torres Vedras,Digital Printing
